user_name,meal,restaurant,rating,order_date
Lorenzo,Risotto alla Milanese,Pizzeria Napoli,5,2023-12-18
Giulia,Pizza Margherita,Cucina Siciliana,4,2023-11-10
Giulia,Risotto alla Milanese,Pizzeria Napoli,4,2023-05-05
Chiara,Bruschetta,Trattoria Milano,5,2023-12-03
Silvia,Cannoli,Pizzeria Napoli,1,2023-10-24
Valentina,Gnocchi,Ristorante Roma,2,2023-03-17
Valentina,Bruschetta,Trattoria Milano,5,2023-09-07
Davide,Focaccia,Osteria Firenze,4,2023-10-26
Francesco,Spaghetti Carbonara,Cucina Siciliana,3,2023-06-18
Martina,Lasagna,Ristorante Roma,2,2023-01-05
Chiara,Cannoli,Pizzeria Napoli,5,2023-10-22
Chiara,Panna Cotta,Trattoria Milano,4,2023-09-21
Alessandro,Cannoli,Cucina Siciliana,1,2023-10-21
Valentina,Spaghetti Carbonara,Pizzeria Napoli,3,2023-01-19
Francesca,Risotto alla Milanese,Trattoria Milano,5,2023-05-11
Sara,Lasagna,Ristorante Roma,3,2023-07-08
Marco,Focaccia,Trattoria Milano,5,2023-08-01
Francesca,Lasagna,Osteria Firenze,3,2023-04-11
Giorgio,Spaghetti Carbonara,Ristorante Roma,2,2023-02-21
Davide,Bruschetta,Ristorante Roma,1,2023-09-11
Sara,Cannoli,Ristorante Roma,3,2023-03-18
Matteo,Risotto alla Milanese,Trattoria Milano,4,2023-03-05
Elena,Pizza Margherita,Cucina Siciliana,1,2023-10-25
Giorgio,Panna Cotta,Osteria Firenze,5,2023-01-23
Matteo,Focaccia,Ristorante Roma,2,2023-09-12
Simone,Cannoli,Ristorante Roma,5,2023-10-15
Martina,Gnocchi,Ristorante Roma,2,2023-05-22
Alessandro,Tiramisu,Ristorante Roma,3,2023-08-18
Federica,Lasagna,Osteria Firenze,2,2023-11-10
Alessandro,Pizza Margherita,Osteria Firenze,4,2023-12-13
Giulia,Risotto alla Milanese,Cucina Siciliana,3,2023-08-26
Elena,Gnocchi,Ristorante Roma,4,2023-06-25
Francesco,Spaghetti Carbonara,Ristorante Roma,5,2023-10-12
Giulia,Gnocchi,Osteria Firenze,2,2023-02-27
Francesco,Spaghetti Carbonara,Osteria Firenze,3,2023-07-14
Silvia,Pizza Margherita,Cucina Siciliana,5,2023-12-25
Alice,Panna Cotta,Pizzeria Napoli,1,2023-10-25
Alessandro,Lasagna,Cucina Siciliana,1,2023-01-03
Francesco,Panna Cotta,Trattoria Milano,4,2023-02-05
Alice,Pizza Margherita,Cucina Siciliana,1,2023-01-25
Francesca,Cannoli,Cucina Siciliana,5,2023-05-11
Chiara,Gnocchi,Osteria Firenze,5,2023-02-25
Alessandro,Lasagna,Pizzeria Napoli,3,2023-08-20
Lorenzo,Cannoli,Osteria Firenze,2,2023-09-26
Davide,Pizza Margherita,Trattoria Milano,3,2023-08-06
Matteo,Tiramisu,Ristorante Roma,1,2023-03-20
Giorgio,Cannoli,Osteria Firenze,2,2023-02-17
Marco,Risotto alla Milanese,Cucina Siciliana,5,2023-09-09
Francesca,Tiramisu,Trattoria Milano,3,2023-09-24
Marco,Bruschetta,Osteria Firenze,1,2023-02-12
Martina,Bruschetta,Ristorante Roma,5,2023-11-27
Giulia,Panna Cotta,Pizzeria Napoli,3,2023-05-16
Federica,Focaccia,Cucina Siciliana,4,2023-12-05
Francesco,Pizza Margherita,Trattoria Milano,5,2023-03-26
Marco,Panna Cotta,Trattoria Milano,3,2023-01-06
Lorenzo,Panna Cotta,Pizzeria Napoli,1,2023-11-27
Alice,Bruschetta,Cucina Siciliana,3,2023-09-21
Martina,Lasagna,Osteria Firenze,4,2023-07-05
Andrea,Cannoli,Ristorante Roma,3,2023-07-10
Martina,Tiramisu,Trattoria Milano,4,2023-02-14
Francesco,Gnocchi,Trattoria Milano,5,2023-11-17
Davide,Pizza Margherita,Trattoria Milano,4,2023-08-13
Marco,Focaccia,Osteria Firenze,2,2023-09-02
Simone,Tiramisu,Cucina Siciliana,4,2023-04-04
Federica,Lasagna,Osteria Firenze,1,2023-12-22
Giorgio,Cannoli,Ristorante Roma,2,2023-08-27
Federica,Spaghetti Carbonara,Cucina Siciliana,4,2023-04-27
Marco,Lasagna,Cucina Siciliana,4,2023-07-11
Luca,Focaccia,Osteria Firenze,3,2023-10-23
Giulia,Spaghetti Carbonara,Cucina Siciliana,4,2023-01-03
Francesco,Bruschetta,Cucina Siciliana,5,2023-11-20
Giulia,Lasagna,Osteria Firenze,3,2023-03-17
Elena,Panna Cotta,Pizzeria Napoli,5,2023-05-15
Alice,Tiramisu,Osteria Firenze,4,2023-06-19
Matteo,Risotto alla Milanese,Osteria Firenze,1,2023-10-28
Chiara,Spaghetti Carbonara,Cucina Siciliana,3,2023-01-25
Elena,Spaghetti Carbonara,Pizzeria Napoli,3,2023-08-28
Valentina,Bruschetta,Ristorante Roma,5,2023-05-08
Simone,Spaghetti Carbonara,Pizzeria Napoli,3,2023-12-21
Marco,Lasagna,Ristorante Roma,1,2023-12-20
Francesca,Bruschetta,Ristorante Roma,4,2023-06-22
Giulia,Panna Cotta,Osteria Firenze,5,2023-01-08
Federica,Spaghetti Carbonara,Osteria Firenze,5,2023-09-01
Chiara,Bruschetta,Osteria Firenze,3,2023-08-09
Giorgio,Bruschetta,Pizzeria Napoli,4,2023-01-10
Sara,Spaghetti Carbonara,Pizzeria Napoli,1,2023-02-01
Luca,Bruschetta,Cucina Siciliana,1,2023-04-26
Alessandro,Spaghetti Carbonara,Trattoria Milano,2,2023-02-15
Giulia,Cannoli,Pizzeria Napoli,1,2023-08-11
Marco,Focaccia,Ristorante Roma,1,2023-07-09
Federica,Panna Cotta,Trattoria Milano,4,2023-04-15
Alessandro,Lasagna,Pizzeria Napoli,2,2023-06-26
Marco,Bruschetta,Pizzeria Napoli,2,2023-11-18
Elena,Gnocchi,Pizzeria Napoli,5,2023-09-13
Lorenzo,Cannoli,Osteria Firenze,4,2023-08-23
Lorenzo,Spaghetti Carbonara,Trattoria Milano,3,2023-06-05
Davide,Risotto alla Milanese,Pizzeria Napoli,2,2023-03-03
Simone,Pizza Margherita,Pizzeria Napoli,1,2023-05-26
Silvia,Tiramisu,Pizzeria Napoli,4,2023-12-20
Federica,Pizza Margherita,Osteria Firenze,1,2023-04-26
Giulia,Lasagna,Trattoria Milano,2,2023-04-06
Alessandro,Cannoli,Osteria Firenze,3,2023-10-22
Elena,Risotto alla Milanese,Cucina Siciliana,2,2023-08-21
Simone,Pizza Margherita,Osteria Firenze,2,2023-08-04
Alice,Gnocchi,Trattoria Milano,4,2023-02-23
Matteo,Tiramisu,Cucina Siciliana,1,2023-06-28
Simone,Panna Cotta,Ristorante Roma,4,2023-02-07
Chiara,Pizza Margherita,Osteria Firenze,1,2023-09-28
Giulia,Risotto alla Milanese,Cucina Siciliana,5,2023-01-08
Elena,Panna Cotta,Pizzeria Napoli,5,2023-07-15
Andrea,Cannoli,Osteria Firenze,2,2023-10-12
Davide,Pizza Margherita,Cucina Siciliana,4,2023-08-11
Elena,Pizza Margherita,Ristorante Roma,4,2023-12-25
Andrea,Tiramisu,Cucina Siciliana,4,2023-05-17
Giorgio,Panna Cotta,Pizzeria Napoli,4,2023-06-12
Silvia,Spaghetti Carbonara,Trattoria Milano,1,2023-05-20
Luca,Gnocchi,Osteria Firenze,5,2023-05-27
Matteo,Pizza Margherita,Ristorante Roma,3,2023-12-10
Silvia,Tiramisu,Trattoria Milano,3,2023-11-02
Federica,Bruschetta,Osteria Firenze,2,2023-07-12
Chiara,Lasagna,Cucina Siciliana,4,2023-02-10
Sara,Spaghetti Carbonara,Cucina Siciliana,1,2023-07-08
Chiara,Tiramisu,Trattoria Milano,1,2023-07-23
Andrea,Cannoli,Trattoria Milano,2,2023-01-26
Sara,Panna Cotta,Ristorante Roma,4,2023-11-08
Valentina,Lasagna,Ristorante Roma,1,2023-03-16
Valentina,Tiramisu,Cucina Siciliana,1,2023-10-28
Giulia,Spaghetti Carbonara,Ristorante Roma,1,2023-09-25
Alice,Bruschetta,Cucina Siciliana,5,2023-09-11
Francesca,Spaghetti Carbonara,Cucina Siciliana,4,2023-06-19
Chiara,Spaghetti Carbonara,Trattoria Milano,5,2023-09-23
Lorenzo,Pizza Margherita,Ristorante Roma,5,2023-01-12
Alessandro,Tiramisu,Osteria Firenze,4,2023-09-01
Giorgio,Pizza Margherita,Osteria Firenze,4,2023-06-26
Andrea,Risotto alla Milanese,Trattoria Milano,2,2023-09-03
Sara,Spaghetti Carbonara,Pizzeria Napoli,5,2023-10-25
Elena,Tiramisu,Trattoria Milano,5,2023-12-04
Simone,Gnocchi,Trattoria Milano,4,2023-11-11
Francesco,Tiramisu,Osteria Firenze,5,2023-12-15
Francesca,Risotto alla Milanese,Pizzeria Napoli,5,2023-06-19
Giulia,Lasagna,Cucina Siciliana,4,2023-11-15
Marco,Panna Cotta,Trattoria Milano,4,2023-02-02
Giorgio,Lasagna,Trattoria Milano,1,2023-11-07
Elena,Cannoli,Cucina Siciliana,1,2023-10-10
Francesca,Lasagna,Pizzeria Napoli,1,2023-12-24
Francesco,Cannoli,Osteria Firenze,5,2023-07-22
Davide,Cannoli,Ristorante Roma,2,2023-08-26
Martina,Panna Cotta,Ristorante Roma,2,2023-11-05
Francesca,Spaghetti Carbonara,Osteria Firenze,4,2023-12-07
Martina,Bruschetta,Trattoria Milano,3,2023-04-10
Luca,Gnocchi,Trattoria Milano,5,2023-01-03
Elena,Spaghetti Carbonara,Ristorante Roma,5,2023-01-22
Alice,Tiramisu,Osteria Firenze,4,2023-07-11
Martina,Bruschetta,Cucina Siciliana,5,2023-09-25
Giulia,Risotto alla Milanese,Cucina Siciliana,2,2023-03-10
Alessandro,Bruschetta,Ristorante Roma,3,2023-07-24
Valentina,Risotto alla Milanese,Pizzeria Napoli,2,2023-06-10
Alessandro,Lasagna,Cucina Siciliana,1,2023-04-03
Davide,Panna Cotta,Ristorante Roma,3,2023-06-09
Alessandro,Lasagna,Cucina Siciliana,1,2023-12-02
Matteo,Tiramisu,Trattoria Milano,3,2023-06-12
Marco,Focaccia,Trattoria Milano,4,2023-02-06
Giorgio,Risotto alla Milanese,Trattoria Milano,4,2023-08-22
Elena,Cannoli,Pizzeria Napoli,5,2023-09-23
Alice,Cannoli,Ristorante Roma,4,2023-01-16
Elena,Panna Cotta,Pizzeria Napoli,3,2023-07-28
Lorenzo,Panna Cotta,Cucina Siciliana,4,2023-08-24
Elena,Pizza Margherita,Ristorante Roma,5,2023-04-06
Federica,Panna Cotta,Ristorante Roma,5,2023-12-06
Silvia,Spaghetti Carbonara,Cucina Siciliana,4,2023-01-23
Federica,Spaghetti Carbonara,Ristorante Roma,5,2023-02-27
Davide,Pizza Margherita,Osteria Firenze,3,2023-04-23
Francesca,Spaghetti Carbonara,Osteria Firenze,3,2023-06-28
Matteo,Lasagna,Trattoria Milano,4,2023-01-10
Chiara,Spaghetti Carbonara,Cucina Siciliana,3,2023-08-10
Valentina,Focaccia,Osteria Firenze,4,2023-09-15
Marco,Spaghetti Carbonara,Osteria Firenze,2,2023-03-18
Valentina,Lasagna,Trattoria Milano,2,2023-09-02
Luca,Lasagna,Ristorante Roma,5,2023-04-03
Marco,Bruschetta,Ristorante Roma,5,2023-05-02
Sara,Tiramisu,Trattoria Milano,4,2023-09-15
Francesca,Lasagna,Trattoria Milano,5,2023-12-06
Andrea,Spaghetti Carbonara,Pizzeria Napoli,3,2023-03-05
Lorenzo,Spaghetti Carbonara,Trattoria Milano,1,2023-02-11
Federica,Panna Cotta,Ristorante Roma,3,2023-09-03
Davide,Risotto alla Milanese,Pizzeria Napoli,1,2023-04-04
Alessandro,Panna Cotta,Ristorante Roma,5,2023-07-28
Silvia,Lasagna,Pizzeria Napoli,4,2023-06-07
Federica,Tiramisu,Pizzeria Napoli,5,2023-03-07
Valentina,Gnocchi,Cucina Siciliana,5,2023-06-05
Giulia,Tiramisu,Cucina Siciliana,2,2023-07-26
Alessandro,Tiramisu,Ristorante Roma,5,2023-05-26
Federica,Tiramisu,Cucina Siciliana,2,2023-05-13
Francesca,Pizza Margherita,Osteria Firenze,1,2023-12-11
Silvia,Gnocchi,Cucina Siciliana,2,2023-04-02
Silvia,Spaghetti Carbonara,Osteria Firenze,1,2023-04-06
Martina,Tiramisu,Trattoria Milano,5,2023-01-09
Giorgio,Panna Cotta,Ristorante Roma,1,2023-01-02
Alice,Pizza Margherita,Trattoria Milano,2,2023-10-28
Sara,Tiramisu,Pizzeria Napoli,3,2023-07-02
Sara,Focaccia,Ristorante Roma,1,2023-12-23
Francesco,Risotto alla Milanese,Cucina Siciliana,4,2023-01-23
Matteo,Panna Cotta,Cucina Siciliana,1,2023-07-11
Luca,Risotto alla Milanese,Osteria Firenze,1,2023-05-20
Sara,Cannoli,Pizzeria Napoli,3,2023-04-15
Lorenzo,Gnocchi,Osteria Firenze,4,2023-03-11
Matteo,Tiramisu,Trattoria Milano,4,2023-01-08
Sara,Bruschetta,Ristorante Roma,2,2023-02-03
Giorgio,Lasagna,Pizzeria Napoli,1,2023-09-25
Federica,Cannoli,Cucina Siciliana,4,2023-12-27
Sara,Spaghetti Carbonara,Cucina Siciliana,5,2023-12-02
Andrea,Cannoli,Ristorante Roma,2,2023-07-09
Sara,Cannoli,Ristorante Roma,2,2023-06-20
Silvia,Tiramisu,Pizzeria Napoli,3,2023-01-24
Marco,Cannoli,Ristorante Roma,4,2023-09-15
Federica,Tiramisu,Cucina Siciliana,5,2023-08-14
Sara,Gnocchi,Pizzeria Napoli,3,2023-06-22
Andrea,Bruschetta,Pizzeria Napoli,5,2023-02-02
Simone,Lasagna,Osteria Firenze,2,2023-03-23
Elena,Focaccia,Osteria Firenze,5,2023-01-24
Marco,Focaccia,Osteria Firenze,5,2023-07-12
Simone,Bruschetta,Cucina Siciliana,2,2023-10-16
Sara,Pizza Margherita,Pizzeria Napoli,5,2023-03-01
Francesca,Panna Cotta,Osteria Firenze,2,2023-02-11
Martina,Tiramisu,Osteria Firenze,3,2023-02-09
Alice,Bruschetta,Pizzeria Napoli,4,2023-06-10
Elena,Pizza Margherita,Ristorante Roma,2,2023-05-25
Silvia,Risotto alla Milanese,Osteria Firenze,5,2023-10-04
Simone,Lasagna,Pizzeria Napoli,2,2023-08-22
Marco,Cannoli,Cucina Siciliana,5,2023-06-08
Alessandro,Tiramisu,Trattoria Milano,4,2023-12-25
Francesco,Lasagna,Ristorante Roma,4,2023-03-24
Matteo,Cannoli,Pizzeria Napoli,4,2023-08-24
Giulia,Spaghetti Carbonara,Osteria Firenze,4,2023-12-19
Giorgio,Risotto alla Milanese,Cucina Siciliana,4,2023-10-06
Francesca,Risotto alla Milanese,Cucina Siciliana,4,2023-07-17
Luca,Spaghetti Carbonara,Pizzeria Napoli,1,2023-11-28
Simone,Bruschetta,Pizzeria Napoli,5,2023-01-17
Chiara,Lasagna,Pizzeria Napoli,3,2023-06-15
Valentina,Gnocchi,Ristorante Roma,2,2023-05-25
Silvia,Cannoli,Trattoria Milano,3,2023-11-17
Francesco,Focaccia,Ristorante Roma,3,2023-03-21
Lorenzo,Cannoli,Osteria Firenze,2,2023-03-05
Matteo,Lasagna,Ristorante Roma,5,2023-10-05
Francesca,Focaccia,Trattoria Milano,4,2023-07-07
Federica,Risotto alla Milanese,Ristorante Roma,1,2023-04-06
Davide,Focaccia,Pizzeria Napoli,4,2023-12-25
